Heading,Summary,Link,PostedBy,PostedOnDate
Tata’s return tarnishes aura of India’s legendary dynasty,"The dynastic business that built a reputation over more than a century for discretion, integrity and fair-dealing has sunk into a public spat of allegations and name-calling. Its directors trade barbs. Its share price is tumbling. ",http://www.financialexpress.com/industry/companies/tatas-return-tarnishes-aura-of-indias-legendary-dynasty/441085/,Bloomberg ," November 8, 2016 3:26 PM"
Qualcomm teases new OnePlus device with Snapdragon 821; is it the OnePlus 3T we have been waiting for?,"Qualcomm a technology major, has put out a teaser on Twitter and confirmed the launch of a new OnePlus smartphone which will be powered by the latest Snapdragon 821 SoC.",http://www.financialexpress.com/industry/tech/qualcomm-teases-new-oneplus-device-with-snapdragon-821-is-it-the-oneplus-3t-we-have-been-waiting-for/440968/,FE Online ," November 8, 2016 2:28 PM"
Wow! 3 SRCC graduates bag whopping Rs 29 lakh placement offers from Parthenon-EY,"Signalling a revival of fresh hiring in India, three graduates of Shri Ram College of Commerce (SRCC) have bagged Rs 29 lakh in annual compensation up from the peak of Rs 17 lakh last year.",http://www.financialexpress.com/industry/jobs/srcc-graduates-bag-whopping-rs-29-lakh-placement-offers-from-parthenon-ey-srcc-jobs-srcc-latest-news/440788/,FE Online ," November 8, 2016 11:07 AM"
"Even as Reliance Jio free services impact hangs fire, Bharti Airtel, Idea revenues grow slower than expected","Airtel’s average data revenue per user was R201, a fall of 0.5% q-on-q, while at Idea it fell 8.5% sequentially to R130",http://www.financialexpress.com/industry/companies/airtel-idea-data-revenues-grow-slower-than-expected/441736/,FE Bureau ," November 9, 2016 6:38 AM"
"Biocon, Mylan submit biosimilar licence application","Global pharma major Mylan and Biocon have announced submission of Mylan’s biologics license application for MYL-1401O, a proposed biosimilar trastuzumab, to the US Food and Drug Administration (FDA).",http://www.financialexpress.com/industry/companies/biocon-mylan-submit-biosimilar-licence-application/441761/,FE Bureau ," November 9, 2016 6:31 AM"
Sundaram BNP Paribas launches app for financial advisors,"Sundaram BNP Paribas Fund Services has launched a mobile application for financial advisors providing details of overall assets under management, brokerage and status of investor transactions. ",http://www.financialexpress.com/industry/companies/sundaram-bnp-paribas-launches-app-for-financial-advisors/441046/,PTI ," November 8, 2016 2:56 PM"
"Estartups: Novopay is making payments simple, safe","Novopay, a bank-backed digital wallet, allows users to pay at merchant shops, pay bills and transfer money",http://www.financialexpress.com/industry/companies/estartups-novopay-is-making-payments-simple-safe/441633/,Sudhir Chowdhary ," November 9, 2016 6:04 AM"
"Indigo profit soars 23.6% to Rs 139.84 cr, but expenses soar","Interglobe Aviation, which owns Indigo Airlines, on Tuesday reported a 23.6% year-on-year increase in its net profit at R139.84 crore for the quarter ended September 30, on the back of increased revenues and other income.",http://www.financialexpress.com/industry/companies/indigo-q2-net-profit-jumps-23-6-to-rs-139-84-crore/441763/,FE Bureau ," November 9, 2016 6:38 AM"
Doorkeys unlocks the value of real estate online,The portal has tied with up analytic firm Experian for credit rating of brokers,http://www.financialexpress.com/industry/companies/doorkeys-unlocks-the-value-of-real-estate-online/441631/,Hita Gupta ," November 9, 2016 6:03 AM"
Bharat Forge reports 26.34% drop in net,"With both domestic sales and exports declining, Bharat Forge (BFL) has reported a 26.34% y-o-y drop in net profit to R126.98 crore during Q2FY17.",http://www.financialexpress.com/industry/companies/bharat-forge-reports-26-34-drop-in-net/441735/,FE Bureau ," November 9, 2016 6:24 AM"
