Heading,Link,Summary,Date
"Don't force us to provide free education to economically weaker students any more, IITs tell govt",http://economictimes.indiatimes.com/industry/services/education/iits-seek-review-of-fee-concessions-for-special-category-students/articleshow/56129101.cms,"The cost incurred on such students is “adversely affecting the financial viability of the institutions and eroding their corpus funds“, IITs said.","Dec 23, 2016, 02:24 PM IST"
Private CBSE schools can no longer pick own heads,http://economictimes.indiatimes.com/industry/services/education/private-cbse-schools-can-no-longer-pick-own-heads/articleshow/56131489.cms,"Teachers aspiring to be principals will now have to qualify a Principal Eligibility Test (PET) conducted by the board, a circular issued on Thursday said.","Dec 23, 2016, 07:27 AM IST"
HRD considering NEET like single national entrance test for engineering colleges,http://economictimes.indiatimes.com/industry/services/education/hrd-considering-neet-like-single-national-entrance-test-for-engineering-colleges/articleshow/56125863.cms,"""There have been some complaints in the past and the HRD ministry is keen to make system as transparent as possible,"" a senior official added.","Dec 22, 2016, 09:52 PM IST"
Class X CBSE Board exams set to be back from 2018,http://economictimes.indiatimes.com/industry/services/education/cbse-body-recommends-making-board-exams-for-class-x-mandatory/articleshow/56089434.cms,"Currently, it is optional for CBSE students to choose either the Board exam or a school-based examination.","Dec 21, 2016, 12:33 AM IST"
Maharashtra universities may soon launch hunt for tech-savvy exam controllers,http://economictimes.indiatimes.com/industry/services/education/maharashtra-universities-may-soon-launch-hunt-for-tech-savvy-exam-controllers/articleshow/56062308.cms,"In the new Act, the state government has changed the examination controller's post to that of `director of board of examinations and evaluation'.","Dec 19, 2016, 02:05 PM IST"
"Higher education: Uttar Pradesh tops, Maharashtra, Tamil Nadu, West Bengal follow",http://economictimes.indiatimes.com/industry/services/education/higher-education-uttar-pradesh-tops-maharashtra-tamil-nadu-west-bengal-follow/articleshow/56001219.cms,"According to the report, of the total enrolment of 342.1 lakhs students (54% male and 46% female enrolments) in higher education institutes in India, Uttar Pradesh ranks first.","Dec 15, 2016, 05:09 PM IST"
Global push for IITs runs into financial hurdles,http://economictimes.indiatimes.com/industry/services/education/global-push-for-iits-runs-into-financial-hurdles/articleshow/56073945.cms,"The IITs — Delhi, Bombay, Kanpur, Kharagpur, Madras, Roorkee and Guwahati— submitted detailed action plans to the ministry on expansion.","Dec 20, 2016, 01:48 AM IST"
Samsung launches programme to hone business acumen among students,http://economictimes.indiatimes.com/industry/services/education/samsung-launches-programme-to-hone-business-acumen-among-students/articleshow/56121163.cms,"As part of this programme, students from B-school and engineering colleges across India will get an opportunity to interact with the leadership team at Samsung, work on real-world business problems and come up with their unique solutions.","Dec 22, 2016, 05:31 PM IST"
Bhubaneswar: Home to a bunch of reputed colleges and research institutes,http://economictimes.indiatimes.com/industry/services/education/looking-east-rise-of-bhubaneswar-as-an-attractive-education-hub/articleshow/55913679.cms,"Bhubaneswar, home to a bunch of reputed colleges and research institutes, is emerging as an attractive education hub.","Dec 11, 2016, 12:01 AM IST"
Dehradun: Keeping the traditional schools company in the rash of new-age institutions,http://economictimes.indiatimes.com/industry/services/education/dehradun-keeping-the-traditional-schools-company-in-dehradun-is-a-rash-of-new-age-institutions/articleshow/55916024.cms,"Of late, the Doon region is also playing host to a clutch of new-age institutions, many of which offer global affiliations such as the IB and the IGCSE.","Dec 10, 2016, 11:13 PM IST"
Existence of established tier-2 educational hubs and how these cities have stepped up,http://economictimes.indiatimes.com/industry/services/education/existence-of-established-tier-2-educational-hubs-and-how-these-cities-have-stepped-up/articleshow/55915608.cms,"There are success stories among state capitals. Ahmedabad, with an overall rank of No. 5, and Jaipur, at No. 10, are challenging position of top metros as education hubs.","Dec 10, 2016, 10:47 PM IST"
Manipal: How a barren hillock in Mangalore has transformed into a university town,http://economictimes.indiatimes.com/industry/services/education/manipal-how-a-barren-hillock-in-mangalore-has-transformed-into-a-university-town/articleshow/55915833.cms,"Today, there are no additional expenses apart from what is mentioned in the prospectus and all transactions are done through banks, say university officials.","Dec 10, 2016, 11:00 PM IST"
