Heading,Link,Summary,Date
SRS Cinemas enters Jharkhand with launch of multiplex in Ranchi,http://economictimes.indiatimes.com/industry/media/entertainment/srs-cinemas-enters-jharkhand-with-launch-of-multiplex-in-ranchi/articleshow/53379732.cms,"Over a time span of 12 years SRS Cinemas has grown from a single theater based to a large, mature player that is now a well-established name in Cinemas.","Jul 25, 2016, 04:26 PM IST"
Viacom18 picks up kids content from rival for OTT platform,http://economictimes.indiatimes.com/industry/media/entertainment/viacom18-picks-up-kids-content-from-rival-for-ott-platform/articleshow/52900788.cms,"Viacom is acquiring only the digital rights and the shows like 'The Powerpuff Girls', 'Ben 10', 'Roll No. 21' and 'Chhota Bheem' will be available on VOOT Kids.","Jun 24, 2016, 03:29 PM IST"
Flicker of hope for Bengali films after 3-year slump,http://economictimes.indiatimes.com/industry/media/entertainment/flicker-of-hope-for-bengali-films-after-3-year-slump/articleshow/53204884.cms,"Though the year didn't open with too many hits, the mid-year releases have got the cash registers ringing.","Jul 14, 2016, 11:42 AM IST"
Tollywood blues set off producer exodus,http://economictimes.indiatimes.com/industry/media/entertainment/tollywood-blues-set-off-producer-exodus/articleshow/53552529.cms,"More than 200 producers have not renewed their membership with East India Motion Pictures in 2015, according to Krishna Daga, vice-president of East India Motion Pictures.","Aug 5, 2016, 10:20 AM IST"
Hollywood shifting dates to avoid collision course with B-wood biggies,http://economictimes.indiatimes.com/industry/media/entertainment/hollywood-shifting-dates-to-avoid-collision-course-with-b-wood-biggies/articleshow/53074612.cms,"The most recent example of this is 'Ice Age: Collision Course which was scheduled to release on July 15, a week before the US release, to avoid a clash with Rajinikanth’s 'Kabali'.","Jul 6, 2016, 11:15 AM IST"
Discovery Communications hires Karan Bajaj as India head,http://economictimes.indiatimes.com/industry/media/entertainment/discovery-communications-hires-karan-bajaj-as-india-head/articleshow/53435800.cms,Discovery said that Bajaj will focus on re-formulating its product suite in line with accelerating demand for regional and digital offerings.,"Jul 28, 2016, 06:52 PM IST"
Carnival Cinema plans to add 700 screens by March 2018,http://economictimes.indiatimes.com/industry/media/entertainment/carnival-cinema-plans-to-add-700-screens-by-march-2018/articleshow/53584468.cms,Carnival which has largely followed the acquisition model to scale its business is now looking at the organic route to add screens.,"Aug 7, 2016, 03:08 PM IST"
Zee Entertainment launches Bollywood movie channel in Germany,http://economictimes.indiatimes.com/industry/media/entertainment/zee-entertainment-launches-bollywood-movie-channel-in-germany/articleshow/53450623.cms,"The new channel, Zee.One, will target women between the ages of 19 and 59 years. The content will be specifically adapted for the German market, the company said.","Jul 29, 2016, 04:13 PM IST"
HD channel count set to rise,http://economictimes.indiatimes.com/industry/media/entertainment/hd-channel-count-set-to-rise/articleshow/53043874.cms,"The total HD count in India is 67 channels, out of a total of more than 500 in the country, with the first been started in 2010 by National Geographic.","Jul 4, 2016, 02:47 PM IST"
UFO Moviez sues 20 cinema operators for breach of contract,http://economictimes.indiatimes.com/industry/media/entertainment/ufo-moviez-sues-20-cinema-operators-for-breach-of-contract/articleshow/53731218.cms,"The traditional cinema operators, however, argued that the Mumbai-headquartered firm is indulging in pressure tactics by forcing one sided agreements and lawsuits, which UFO Moviez has denied.","Aug 17, 2016, 02:44 AM IST"
Rel Entertainment sells majority as Tang Media infuses $200 million in IM Global,http://economictimes.indiatimes.com/industry/media/entertainment/rel-entertainment-sells-majority-as-tang-media-infuses-200-million-in-im-global/articleshow/52579651.cms,"The Anil Ambani-led entertainment company had picked up a majority stake in IM Global, an independent international film and television production, sales and distribution company in 2010 from founder Stuart Ford.","Jun 4, 2016, 03:51 AM IST"
Sony launches new Hindi movie channel 'Sony Wah',http://economictimes.indiatimes.com/industry/media/entertainment/sony-launches-new-hindi-movie-channel-sony-wah/articleshow/52729665.cms,"SPN's Hindi movie channel cluster comprising of Sony Max, Sony Max2, Sony Max HD and Sony Wah will cover the entire viewer spectrum of Hindi speaking markets.","Jun 13, 2016, 05:31 PM IST"
Govt must think about film industry: Irrfan Khan on censorship,http://economictimes.indiatimes.com/industry/media/entertainment/govt-must-think-about-film-industry-irrfan-khan-on-censorship/articleshow/52694722.cms,"Many Bollywood personalities came out in support of ""Udta Punjab"" embroiled in a controversy with the Censor Board over various cuts suggested for the movie.","Jun 10, 2016, 10:59 PM IST"
Abolish censor board's scissors: Rakeysh Omprakash Mehra,http://economictimes.indiatimes.com/industry/media/entertainment/abolish-censor-boards-scissors-rakeysh-omprakash-mehra/articleshow/52658308.cms,"The ways of the Indian censor board have come in for criticism time and again, and this time, Bollywood has locked horns with the CBFC over ""Udta Punjab"".","Jun 8, 2016, 07:44 PM IST"
Eros to acquire 50 per cent stake in Puja Entertainment,http://economictimes.indiatimes.com/industry/media/entertainment/eros-to-acquire-50-per-cent-stake-in-puja-entertainment/articleshow/52830393.cms,"The company has signed a ""term sheet to acquire a 50 per cent stake in Puja Entertainment & Films,"" Eros International Media said in a BSE filing.","Jun 20, 2016, 01:24 PM IST"
"Sony garners advertising revenue of Rs 1,200 crore from IPL 9",http://economictimes.indiatimes.com/industry/media/entertainment/sony-garners-advertising-revenue-of-rs-1200-crore-from-ipl-9/articleshow/52603209.cms,"There was unprecedented interest from advertisers for this year and for the first time, two months prior to the start, all the inventories were sold.","Jun 5, 2016, 03:23 PM IST"
SonyLIV partners Mukta Arts to offer short films on its platform,http://economictimes.indiatimes.com/industry/media/entertainment/sonyliv-partners-mukta-arts-to-offer-short-films-on-its-platform/articleshow/52639727.cms,"SonyLIV will offer content, including over 100 short films, produced by Mukta Arts’ digital venture Connect.1 and Whistling Woods International.","Jun 7, 2016, 07:17 PM IST"
Eros Now launches on Apple TV,http://economictimes.indiatimes.com/industry/media/entertainment/eros-now-launches-on-apple-tv/articleshow/52658226.cms,"The deal with Apple TV will allow Eros Now to showcase its repository of Bollywood and regional language films and music videos, across Apple TV's presence in 80 key countries.","Jun 8, 2016, 07:40 PM IST"
Reliance Entertainment sells majority stake in IM Global to Tang Media,http://economictimes.indiatimes.com/industry/media/entertainment/reliance-entertainment-sells-majority-stake-in-im-global-to-tang-media/articleshow/52574944.cms,"Meanwhile, in a separate transaction IM Global and TMP have partnered with Asian internet major Tencent, in a new television production joint venture.","Jun 3, 2016, 08:57 PM IST"
Censor Board justifies changes in 'Udta Punjab',http://economictimes.indiatimes.com/industry/media/entertainment/censor-board-justifies-changes-in-udta-punjab/articleshow/52676085.cms,The Central Board of Film Certification (CBFC) lawyer argued that the order of the Revising Committee suggesting 13 changes in the film was not arbitrary.,"Jun 9, 2016, 08:28 PM IST"
