Heading,Link,Summary,Date
"From 2017, IITs to have 528 seats more",http://economictimes.indiatimes.com/industry/services/education/from-2017-iits-to-have-528-seats-more/articleshow/55025817.cms,"While this increased number was to be absorbed by all 23 IITs, several of the older institutes said they wouldn't be able to immediately increase their intake with their current infrastructure.","Oct 24, 2016, 11:24 AM IST"
41 Indians are Cambridge School's global toppers,http://economictimes.indiatimes.com/industry/services/education/41-indians-are-cambridge-schools-global-toppers/articleshow/54915550.cms,Cambridge International AS Level and Cambridge International A Level.Besides this there are 101 Indian students who topped in the country across these qualifications.,"Oct 18, 2016, 02:56 PM IST"
5 labs each in 7 IITs to be brought on a par with best in the world,http://economictimes.indiatimes.com/industry/services/education/5-labs-each-in-7-iits-to-be-brought-on-a-par-with-best-in-the-world/articleshow/54971919.cms,"As for expansion of student strength to one lakh in IITs, directors said the bulk of expansion will take place in post-graduate and PhD.","Oct 21, 2016, 11:26 AM IST"
Indian Institute of Science to set up digital campus over 3 years,http://economictimes.indiatimes.com/industry/services/education/indian-institute-of-science-to-set-up-digital-campus-over-3-years/articleshow/55024662.cms,"The DIGITS office is also working on telecom, internet and network access (TINA), video security equipment (VISE) and multimedia classrooms (MMCR) initiatives.","Oct 24, 2016, 10:08 AM IST"
Stipends for interns swell at top B-schools,http://economictimes.indiatimes.com/industry/services/education/stipends-for-interns-swell-at-top-b-schools/articleshow/54744580.cms,"As India maintains its position as one of the most promising markets globally, bullish companies are paying more to rope in the brightest students.","Oct 8, 2016, 12:27 AM IST"
Government to give more autonomy to IIMs,http://economictimes.indiatimes.com/industry/services/education/government-to-give-more-autonomy-to-iims/articleshow/54754236.cms,"According to sources, among the key provisions that the HRD ministry has decided to revise include those related to the Visitor's office.","Oct 8, 2016, 06:44 PM IST"
FIIT-JEE asked to refund 50 per cent tuition fee to student,http://economictimes.indiatimes.com/industry/services/education/fiit-jee-asked-to-refund-50-per-cent-tuition-fee-to-student/articleshow/54816250.cms,The complainant's son had joined Saifabad branch in Hyderabad for a two-year integrated school programme for IIT-JEE course in 2010.,"Oct 12, 2016, 08:24 PM IST"
"Amid scrutiny, Amity University gets ready for its US debut",http://economictimes.indiatimes.com/industry/services/education/amid-scrutiny-amity-university-gets-ready-for-its-us-debut/articleshow/54780910.cms,"Since it was founded in 2003, the chain has opened campuses in India, England, China, South Africa and five other countries.","Oct 10, 2016, 05:07 PM IST"
Draft rules out for 20 world class institutions,http://economictimes.indiatimes.com/industry/services/education/draft-rules-out-for-20-world-class-institutions/articleshow/54744698.cms,The regulations have seen friction between the HRD ministry and the PMO with the latter pushing for a highly liberalised regulatory regime free of UGC controls.,"Oct 8, 2016, 12:41 AM IST"
Cabinet nod for IIM at Jammu,http://economictimes.indiatimes.com/industry/services/education/cabinet-nod-for-iim-at-jammu/articleshow/54828382.cms,The Union Cabinet today approved the establishment and operationalisation of IIM at Jammu in a temporary campus at Old Government College of Engineering and Technology from the Academic Year 2016-17.,"Oct 13, 2016, 01:24 PM IST"
"Proposal for yoga, culture courses in JNU rejected again",http://economictimes.indiatimes.com/industry/services/education/proposal-for-yoga-culture-courses-in-jnu-rejected-again/articleshow/54761752.cms,"The proposal to introduce three short-term courses in these subjects had come last year against the backdrop of right-wing organisations, including RSS.","Oct 9, 2016, 10:58 AM IST"
"Departments' is just too old, Bangalore University to switch to `schools'",http://economictimes.indiatimes.com/industry/services/education/departments-is-just-too-old-bangalore-university-to-switch-to-schools/articleshow/54778565.cms,The 52-year-old university will establish schools by amalgamating related disciplines or subjects under one umbrella in a bid to foster interdisciplinary studies and research.,"Oct 10, 2016, 02:42 PM IST"
British Deputy High Commission and ISB will host the Young Thinkers’ Conference,http://economictimes.indiatimes.com/industry/services/education/british-deputy-high-commission-and-isb-will-host-the-young-thinkers-conference/articleshow/54782841.cms,"Already well established in Delhi, where it has been held for the last six years, this is the first time the conference is being held outside the capital.","Oct 10, 2016, 07:21 PM IST"
<p>Bengaluru schools vie to tie up with foreign institutes<br></p>,http://economictimes.indiatimes.com/industry/services/education/bengaluru-schools-vie-to-tie-up-with-foreign-institutesbr/articleshow/54712673.cms,"Some of Bengaluru's international schools are racing to partner with foreign institutions, a trend spurred by intense competition in a crowded segment.","Oct 6, 2016, 01:04 PM IST"
The Royal Society lists first of 9 Tata University research fellows,http://economictimes.indiatimes.com/industry/services/education/the-royal-society-lists-first-of-9-tata-university-research-fellows/articleshow/54586099.cms,"This will support the selected candidates in their respective area of research for a period of five years, with the option to apply for a further funding.","Sep 29, 2016, 06:35 PM IST"
CAT 2016 registrations record at 7-year high,http://economictimes.indiatimes.com/industry/services/education/cat-2016-registrations-record-at-7-year-high/articleshow/54568129.cms,"As against 2,18,664 registrations for the test last year, 2,32,434 applications were received this year by the Office of the Convenor of CAT 2016 as on September 27.","Sep 28, 2016, 07:43 PM IST"
Common Admission Test 2016 registrations at seven-year high,http://economictimes.indiatimes.com/industry/services/education/common-admission-test-2016-registrations-at-seven-year-high/articleshow/54554904.cms,"There were 2,18,664 registrations for the test last year. This year's CAT registration number is the highest after 2009, when it was 2.4 lakh.","Sep 28, 2016, 05:00 AM IST"
Thales and IIT Delhi sign a MoU to create a jointly supervised fellowship programme,http://economictimes.indiatimes.com/industry/services/education/thales-and-iit-delhi-sign-a-mou-to-create-a-jointly-supervised-fellowship-programme/articleshow/54548633.cms,"Through this fellowship programme, Thales and IIT Delhi intend to facilitate scientific collaboration between Indian and French laboratories .","Sep 27, 2016, 08:17 PM IST"
IIT Bombay's satellite Pratham launched on Monday at 9.15 am,http://economictimes.indiatimes.com/industry/services/education/iit-bombays-satellite-pratham-launched-on-monday-at-9-15-am/articleshow/54526814.cms,"The foremost objective of Pratham is to empower the students involved with the skill set required to develop a satellite through various stages of design, analysis.","Sep 26, 2016, 06:53 PM IST"
Coursera and Manipal Global tie up for curated educational content,http://economictimes.indiatimes.com/industry/services/education/coursera-and-manipal-global-tie-up-for-curated-educational-content/articleshow/54547362.cms,This will allow Manipal learners initial access to more than 60 specializations and certificate programs from Coursera’s university partners. ,"Sep 27, 2016, 06:51 PM IST"
"FTII to propose fee hike, age limit; students oppose",http://economictimes.indiatimes.com/industry/services/education/ftii-to-propose-fee-hike-age-limit-students-oppose/articleshow/54590413.cms,FTII had studied the fee structures of other institutes such as the National School of Drama and National Institute of Design before finalising the proposal.,"Sep 29, 2016, 10:11 PM IST"
India is Coursera's 2nd biggest revenue earner,http://economictimes.indiatimes.com/industry/services/education/india-is-courseras-2nd-biggest-revenue-earner/articleshow/54559438.cms,Paying users who complete their courses receive certifications and degrees that are now highly recognized by industry ,"Sep 28, 2016, 11:44 AM IST"
Centre planning autonomy for good universities: Prakash Javadekar,http://economictimes.indiatimes.com/industry/services/education/centre-planning-autonomy-for-good-universities-prakash-javadekar/articleshow/54525076.cms,"""Universities that encourage innovation would be given support by Centre. PM Modi's aim is to have innovation hubs across the country,"" Javadekar said.","Sep 26, 2016, 04:58 PM IST"
